title,venue,town,date,url,description,address,source,scraped_at
Children's Theater Musical,House of Blues Boston,Boston,2025-08-24T19:00:05.154372,https://example.com/event-6,Family-friendly musical performance,"15 Lansdowne St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154447
Young People's Symphony,Somerville Arts Center,Somerville,2025-08-27T14:00:05.154372,https://example.com/event-9,Introduction to orchestral music for kids,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154457
Disney Sing-Along,Newton Community Music School,Newton,2025-08-30T14:00:05.154372,https://example.com/event-12,Sing your favorite Disney songs,"321 Chestnut St, Newton, MA",ExpandedMockData,2026-02-14T16:31:05.154467
Kidz Bop Live,TD Garden,Boston,2025-09-02T11:30:05.154372,https://example.com/event-15,Today's biggest hits performed for kids,"100 Legends Way, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154477
Kids Rock Concert,Waltham Public Library,Waltham,2025-09-05T17:00:05.154372,https://example.com/event-18,High-energy rock music for children and families,"735 Main St, Waltham, MA",ExpandedMockData,2026-02-14T16:31:05.154487
Toddler Music Class Performance,Lexington Public Library,Lexington,2025-09-08T19:30:05.154372,https://example.com/event-21,Interactive music for preschool children,"1625 Massachusetts Ave, Lexington, MA",ExpandedMockData,2026-02-14T16:31:05.154496
Youth Orchestra Concert,Somerville Theatre,Somerville,2025-09-11T14:00:05.154372,https://example.com/event-24,Young musicians showcase their talents,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154506
Family Music Workshop,Waltham High School Auditorium,Waltham,2025-09-14T15:00:05.154372,https://example.com/event-27,Interactive music-making for families,"617 Lexington St, Waltham, MA",ExpandedMockData,2026-02-14T16:31:05.154515
Family Jazz Afternoon,MIT Kresge Auditorium,Cambridge,2025-09-17T11:00:05.154372,https://example.com/event-30,Jazz music in a family-friendly setting,"48 Massachusetts Ave, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.154525
Kidz Bop Live,MIT Kresge Auditorium,Cambridge,2025-09-20T14:00:05.154372,https://example.com/event-33,Today's biggest hits performed for kids,"48 Massachusetts Ave, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.154534
Kids Rock Concert,Somerville Theatre,Somerville,2025-09-23T15:30:05.154372,https://example.com/event-36,High-energy rock music for children and families,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154543
Family Folk Festival,Club Passim,Cambridge,2025-09-29T13:30:05.154372,https://example.com/event-42,Traditional folk music with sing-alongs for all ages,"47 Palmer St, Cambridge, MA",ExpandedMockData,2026-02-14T16:31:05.154562
Children's Chorus Performance,Cary Memorial Hall,Lexington,2025-10-05T10:00:05.154372,https://example.com/event-48,Young voices perform classical and contemporary pieces,"1605 Massachusetts Ave, Lexington, MA",ExpandedMockData,2026-02-14T16:31:05.154581
Children's Theater Musical,Somerville Theatre,Somerville,2025-10-14T14:30:05.154372,https://example.com/event-57,Family-friendly musical performance,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154608
Kids Rock Concert,Agganis Arena,Boston,2025-10-17T14:00:05.154372,https://example.com/event-60,High-energy rock music for children and families,"925 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154617
Preschool Music Hour,Boston Children's Museum,Boston,2025-10-23T18:00:05.154372,https://example.com/event-66,Music and movement for young children,"308 Congress St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154636
All Ages Acoustic Show,Somerville Arts Center,Somerville,2025-10-26T15:30:05.154372,https://example.com/event-69,Acoustic music suitable for all ages,"143 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154646
All Ages Acoustic Show,Lexington High School,Lexington,2025-11-07T18:30:05.154372,https://example.com/event-81,Acoustic music suitable for all ages,"251 Waltham St, Lexington, MA",ExpandedMockData,2026-02-14T16:31:05.154684
Kids Rock Concert,Boston Public Library - Central,Boston,2025-11-10T19:00:05.154372,https://example.com/event-84,High-energy rock music for children and families,"700 Boylston St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154693
Elementary School Band Concert,Somerville Theatre,Somerville,2025-11-13T10:00:05.154372,https://example.com/event-87,Student musicians perform,"55 Davis Sq, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154702
Family Folk Festival,Paradise Rock Club,Boston,2025-11-19T19:30:05.154372,https://example.com/event-93,Traditional folk music with sing-alongs for all ages,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154720
Family Music Workshop,ONCE Ballroom,Somerville,2025-11-25T10:00:05.154372,https://example.com/event-99,Interactive music-making for families,"156 Highland Ave, Somerville, MA",ExpandedMockData,2026-02-14T16:31:05.154739
Family Folk Festival,Paradise Rock Club,Boston,2025-12-01T14:30:05.154372,https://example.com/event-105,Traditional folk music with sing-alongs for all ages,"967 Commonwealth Ave, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154758
Kids' World Music Festival,House of Blues Boston,Boston,2025-12-04T18:00:05.154372,https://example.com/event-108,Music from around the world for families,"15 Lansdowne St, Boston, MA",ExpandedMockData,2026-02-14T16:31:05.154767
